Name,GUID,ReportName,Title,YearOfPublication,LinkingUri,LinkingUrl,ServerRelativeUrl,ServerRedirectedEmbedUri,ServerRedirectedEmbedUrl,Created,Length
2008_BC Hop tac nghien cuu chung VN-TQ_ICB_Vol1_2.pdf,2eb71c4b-1968-440f-900a-fd7e65d055f3,ICB-CCOP_SongHong - Yinggehai Basin Case Study,,2008,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_BC Hop tac nghien cuu chung VN-TQ_ICB_Vol1_2.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=30590ef1-75c4-4d8f-a494-7e4950a5ae55,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=30590ef1-75c4-4d8f-a494-7e4950a5ae55,2024-01-18T10:41:59,13090660
2011_Nghien cuu lo 112-119_Final report for Origin.doc,dfc9b70d-52e0-4657-bec8-ac4c040ebe84,A BLOCK 121 PETROLEUM RESERVOIR GEOLOGY ANALOGUE OF OFFSHORE SOUTHERN SONG HONG BASIN AREA IN THE BLOCKS FROM 112 TO 119,,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2011_Nghien%20cuu%20lo%20112-119_Final%20report%20for%20Origin.doc?d=wbd4be624855b4c35a8733fdb87027bb0,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2011_Nghien cuu lo 112-119_Final report for Origin.doc?d=wbd4be624855b4c35a8733fdb87027bb0,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2011_Nghien cuu lo 112-119_Final report for Origin.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={bd4be624-855b-4c35-a873-3fdb87027bb0}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={bd4be624-855b-4c35-a873-3fdb87027bb0}&action=interactivepreview,2024-01-18T10:42:33,47462400
"2014_ Song Hong & Phu Khanh Regional study in Block 105-110, Block 114 & Block 120 ENI.pdf",67c1b71d-6c98-407f-825e-0d125f06a03a,"SONG HONG & PHU KHANH REGIONAL STUDY IN BLOCK 105-110/04, BLOCK 114 AND BLOCK 120
PART 1: SONG HONG BASIN",,2014,,,"/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2014_ Song Hong & Phu Khanh Regional study in Block 105-110, Block 114 & Block 120 ENI.pdf",https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=aec26a6e-c138-4610-8812-e7c817baf15c,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=aec26a6e-c138-4610-8812-e7c817baf15c,2024-01-18T10:43:30,24700078
2011_Tong ket TKTD 2000-2010_28_7.doc,56068577-c5e3-4bd9-a935-d69b9e04c972,"Tổng kết và đánh giá công tác TKTD dầu khí ở Việt Nam giai đoạn 2000 – 2009, nghiên cứu đề xuất phương hướng TKTD đến 2020",,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2011_Tong%20ket%20TKTD%202000-2010_28_7.doc?d=wa687271af1e74546bee21d340205ae94,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2011_Tong ket TKTD 2000-2010_28_7.doc?d=wa687271af1e74546bee21d340205ae94,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2011_Tong ket TKTD 2000-2010_28_7.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={a687271a-f1e7-4546-bee2-1d340205ae94}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={a687271a-f1e7-4546-bee2-1d340205ae94}&action=interactivepreview,2024-01-18T10:43:43,99700736
2015_Stratigraphy study on South of Song Hong and North of Phu Khanh Basin_ KrisEnergy.pdf,1e6df83e-9e7c-4221-af4c-4fce99c581ed,Stratigraphy Study on South of Song Hong and North of Phu Khanh Basin,,2015,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2015_Stratigraphy study on South of Song Hong and North of Phu Khanh Basin_ KrisEnergy.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=fc60412f-a962-489d-994f-581da7067175,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=fc60412f-a962-489d-994f-581da7067175,2024-01-18T10:44:08,51997224
"2017_Evaluation of Origin and Distribution  of CO2 in the Phu Khanh Basin and southern portion of Song Hong basins, EPC-Murphy.pdf",0abe9d8f-57ff-4c64-a88a-7ba00e4768ab,Evaluation of origin & distribution of CO2 in Phu Khanh & southern portion of Song Hong basins,,2017,,,"/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2017_Evaluation of Origin and Distribution  of CO2 in the Phu Khanh Basin and southern portion of Song Hong basins, EPC-Murphy.pdf",https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=c6095e50-af77-4169-8450-51291e32e28b,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=c6095e50-af77-4169-8450-51291e32e28b,2024-01-18T10:44:29,17554084
2015_BAO CAO UppMio Plio_SONGHONG_Nguyen Tien Thinh.docx,c8aa852a-05f6-4482-a86f-1892f3189a49,Nghiên cứu sự hình thành tích tụ dầu khí trong trầm tích Miocen muộn-Pliocen khu vực trung tâm bể Sông Hồng,MỤC LỤC,2015,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2015_BAO%20CAO%20UppMio%20Plio_SONGHONG_Nguyen%20Tien%20Thinh.docx?d=w687be28b9e16496992c179e2d8d4d97c,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2015_BAO CAO UppMio Plio_SONGHONG_Nguyen Tien Thinh.docx?d=w687be28b9e16496992c179e2d8d4d97c,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2015_BAO CAO UppMio Plio_SONGHONG_Nguyen Tien Thinh.docx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={687be28b-9e16-4969-92c1-79e2d8d4d97c}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={687be28b-9e16-4969-92c1-79e2d8d4d97c}&action=interactivepreview,2024-01-18T10:44:38,80980879
2017_Nghien cuu co sinh TT va Nam be SH_VPI Lab.docx,049e6151-1ae3-4c9b-a52e-58140829d685,NGHIÊN CỨU XÁC ĐỊNH CÁC PHỨC HỆ HÓA THẠCH ĐỂ CHÍNH XÁC HÓA ĐỊA TẦNG TRẦM TÍCH ĐỆ TAM VÙNG TRUNG TÂM VÀ PHÍA NAM BỂ TRẦM TÍCH SÔNG HỒNG,,2017,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2017_Nghien%20cuu%20co%20sinh%20TT%20va%20Nam%20be%20SH_VPI%20Lab.docx?d=w66907e51134d4303b5f95fa8d1c521c1,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2017_Nghien cuu co sinh TT va Nam be SH_VPI Lab.docx?d=w66907e51134d4303b5f95fa8d1c521c1,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2017_Nghien cuu co sinh TT va Nam be SH_VPI Lab.docx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={66907e51-134d-4303-b5f9-5fa8d1c521c1}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={66907e51-134d-4303-b5f9-5fa8d1c521c1}&action=interactivepreview,2024-01-18T10:44:51,17959358
2019_Baocao_PVN15_Minh giai tai lieu dia chan 2D.pdf,9897e522-3c3e-4989-a8d6-d2d3a5fb7d32,"Minh giải 
tài liệu địa chấn 2D - Dự án điều tra cơ bản Khảo sát địa chấn 2D liên kết các bể trầm 
tích trên thềm lục địa Việt Nam (dự án PVN-15)",,2019,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2019_Baocao_PVN15_Minh giai tai lieu dia chan 2D.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=793c3c61-8f2d-4173-ac3a-e157fcdb7643,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=793c3c61-8f2d-4173-ac3a-e157fcdb7643,2024-01-18T10:45:13,27748751
2016_Bao_cao_detai_TK5nam 2010-2015_phanbiencap2_v3.docx,5ed82447-7b84-4757-9294-d1682f537a50,"ổng kết, đánh giá công tác tìm kiếm thăm dò dầu khí ở Việt Nam giai đoạn 2011 – 2015 và phương hướng TKTD tiếp theo",,2016,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2016_Bao_cao_detai_TK5nam%202010-2015_phanbiencap2_v3.docx?d=w842c9d150b18459891831ec4f92127dd,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2016_Bao_cao_detai_TK5nam 2010-2015_phanbiencap2_v3.docx?d=w842c9d150b18459891831ec4f92127dd,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2016_Bao_cao_detai_TK5nam 2010-2015_phanbiencap2_v3.docx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={842c9d15-0b18-4598-9183-1ec4f92127dd}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={842c9d15-0b18-4598-9183-1ec4f92127dd}&action=interactivepreview,2024-01-18T10:45:17,95381014
