Name,GUID,StatusOfReport
2008_BC Hop tac nghien cuu chung VN-TQ_ICB_Vol1_2.pdf,2eb71c4b-1968-440f-900a-fd7e65d055f3,Final report
2011_Nghien cuu lo 112-119_Final report for Origin.doc,dfc9b70d-52e0-4657-bec8-ac4c040ebe84,Final report
"2014_ Song Hong & Phu Khanh Regional study in Block 105-110, Block 114 & Block 120 ENI.pdf",67c1b71d-6c98-407f-825e-0d125f06a03a,Final report
2011_Tong ket TKTD 2000-2010_28_7.doc,56068577-c5e3-4bd9-a935-d69b9e04c972,Final report
2015_Stratigraphy study on South of Song Hong and North of Phu Khanh Basin_ KrisEnergy.pdf,1e6df83e-9e7c-4221-af4c-4fce99c581ed,Final report
"2017_Evaluation of Origin and Distribution  of CO2 in the Phu Khanh Basin and southern portion of Song Hong basins, EPC-Murphy.pdf",0abe9d8f-57ff-4c64-a88a-7ba00e4768ab,Interim report
2015_BAO CAO UppMio Plio_SONGHONG_Nguyen Tien Thinh.docx,c8aa852a-05f6-4482-a86f-1892f3189a49,Interim report
2017_Nghien cuu co sinh TT va Nam be SH_VPI Lab.docx,049e6151-1ae3-4c9b-a52e-58140829d685,Interim report
2019_Baocao_PVN15_Minh giai tai lieu dia chan 2D.pdf,9897e522-3c3e-4989-a8d6-d2d3a5fb7d32,Final report
2016_Bao_cao_detai_TK5nam 2010-2015_phanbiencap2_v3.docx,5ed82447-7b84-4757-9294-d1682f537a50,
2019_May PEXMOD REPORT north Song Hong Basin.docx,41cbe21e-825c-4253-8478-fa4760afc7e8,Final report
SHBasin_Report VGP 597_ ENG_VGP_VPI (EPC).pdf,9d0cc828-4194-4dbe-a406-c6517b917cbf,Final report
Hội thảo kỹ thuật Đánh giá Bắc Bể Sông Hồng 72008.pptx,9e873c00-57b0-4471-9263-52f0b9955ab5,Interim report
Chuong I  Report .ppt,f559d2e5-25cf-45eb-8e99-776805115523,Final report
Tong ket TKTD BBSH.pptx,ca41cf84-a1b5-4423-ba4c-1c7e2c017c34,Interim report
Chuong III Report.ppt,35db79e1-7830-4a70-817a-065521b9bc29,Final report
CHUONG IV_1 Report.ppt,8f6cc4e2-eac8-436d-84d5-92b7bb3cde0d,Final report
Chuong IV_2 Report.doc,c73549f1-7167-4b91-9c2a-2a6f2300939c,Final report
Chuong IV_3 Report.ppt,71330a04-921d-42a4-ab5c-708c96b2d72e,Final report
Chuong II-Report.ppt,ac0db00f-6c8b-446f-b9b6-554ae25a326a,Final report
kientaoSongHong_NHung6-2009.doc,da4877ab-0d1b-409a-aa59-8fbed4cdf094,Interim report
Noi dung CD.doc,23e08162-79e0-4e13-af2f-48e0c7d6077b,Final report
TO BIA.doc,b851d080-f94a-4367-8bf9-bd1b1d7f80cd,Final report
Phan loi BAO CAO.doc,b323c2e1-1b81-483b-8e49-ac5225534e44,Final report
Danh gia tiem nang dau khi be Song Hong-De tai 47_ 11-9-2012.pdf,de62ad36-a6ec-489b-9761-3ffc3a71dc20,Final report
Bao cao PTM SO2-25042018_them thong tin_2.pptx,089ddcf1-225d-40a3-b17c-bf38b1edc2ec,Interim report
Biostratigraphy-Petrography analysisis_Block 101-100.04_PVEPSH.final.docx,505b2d73-add3-4b4d-9921-7012f93b8122,Interim report
KT QU PHÂN TÍCH C SINH_TA_EPC-Block 100-101.pptx,75e8c249-2b29-402c-87c1-29b656f20200,Interim report
Tom tat co sinh2-HOL-HAL.pptx,ad161d8e-510e-42e7-8c63-71b6e2d0cec8,Interim report
VOLUME_1-1_ENG.pdf,56032301-f299-466d-96a2-ad7120d9a48f,Final report
VOLUME_1-2_ENG.pdf,55b1a52b-41b9-4bcd-ac60-7cfd5f3311ac,Final report
VOLUME_2_ENG.pdf,143dae55-8177-44f7-be33-d45137b2d246,Final report
VOLUME_3_ENG.pdf,cc16a8fb-da17-400a-ba23-97e12e1bf9b6,Final report
VOLUME_4_ENG.pdf,8e321d80-3884-444f-9803-3cfae5722fd9,Final report
VOLUME_5_ENG.pdf,d14ecc8b-865f-48ca-a03d-ca96ead820d1,Final report
report_FINAL_eng.doc,2668f229-2195-4b1b-b3a4-4d0fe2d24ac9,
report_FINAL_eng.pdf,d81a793d-2706-4825-a4c7-5f5c5e0ba8c1,Final report
Final report_de tai cap vien_A Tùng .docx,7c69288e-da85-4385-a229-3cbe854e0a6e,Final report
Be Song Hong_DE TAI CAP VIEN_FINAL.pptx,4c8838ce-11e4-4cdb-a3d0-dfa6c368a7ac,Final report
TB 1018_Petro_BLV.pdf,e8469212-2a58-4d1d-b7fe-ea372eda05d5,Final report Approved
TB 1019_Bio_BLV.pdf,6e2d6552-3ce9-499f-9b34-4770b6e6f664,Final report Approved
TB 1071_Petro_HP+CB.pdf,927a98d8-d339-41df-b338-b7cf8c803855,Final report Approved
Song Hong_IHS.pdf,2e1c6e4e-412c-4fdc-a61e-c48095e8d566,Interim report
2005 BC Tuong da co dia ly be SH.pdf,20d1d8ea-c922-411f-8bad-36afefb2489a,Final report
2008_Block 101-100-04 Maturity and Migration Modelling Report _ Santos.pdf,2bff4f87-b63c-4096-a02e-2c750cdcb35c,Final report
2008_Block 101-100-4 PVN Interpretation Update_Santos.pdf,fae4e1b3-051f-4fce-baea-76751ccc2af4,Final report
2012_Bao cao DT 101-100 04_Final.doc,0adc4367-1b36-40f8-97b2-8c9b5862b486,Final report
2012_Block 100-100.04 Evaluation Report _Salamander Energy Vietnam.pdf,41710b38-0129-498b-9171-6ffc4d6ceb49,Final report
2013 Block 101-100.04 3D Special Seismic Interpretation for Litho-Facial Environment PVEP-Black Gold....pdf,c87b8d7d-b9b8-45b1-b07c-c4cfada8c98a,Final report
2015_ Block 100-101_Report_CBN_Bsmt_Oligoc_PVEP_ITC.pdf,607c60ff-7e11-4d2e-8be7-c99250ada987,Final report
2008_Block101_100_04_3D Seismic Interpretation Report_Santos.pdf,f54b6a9f-605b-421d-835d-0774dc75234c,Final report
2014_Bao cao dau tu lo 100-101_04 PVEP.pptx,5a8e3456-49df-4e34-81f1-969321b857f0,Final report
2015_3D Basin modeling in Block 101 EPC-PVEP Song Hong.pdf,e72f582d-7037-4480-864a-18e79c92b077,Final report
2016_BER 101-100_final.docx,0f51c6f7-2e97-4cf4-873e-a825f37f8fa4,Final report
101-CB-1X Final Well Report (Mudlogging).pdf,122e0712-8e49-454f-847c-f4b69d3e7769,Final report
101-CB-1X Geological FWR.pdf,e288e107-1502-47a8-8ffe-e6143b44178e,Final report Approved
2019_BER 101-100.docx,2951f47d-6398-4b32-bfe7-471ef30ed593,Final report
101-CB-1X Salamander VSP Report 2011.pdf,e3915532-fe48-4be9-b81e-c1d868429c00,Final report Approved
101-CB-1X_Composite log.pdf,40c3ff27-7558-4a78-8cfe-3b9f4afd65a8,Final report Approved
101-CB-1X Well Proposal 09_05signed2011 approved.pdf,945325c8-50b4-4710-864a-d13742ab10f6,Final report Approved
101-CB-1X_Drilling Programme  Final Rev0_20110701.pdf,c52be529-6557-4c20-a6be-b649ce27b72c,Final report Approved
100-BS-1X Well proposal.pdf,53e52a02-7343-46cb-9999-ba1c98850ca2,Final report
101-HM-1X FWR Logging 2009.pdf,7c35608a-95ad-4b5c-a401-fa1394f93595,Final report
101-HM-1X PVT Fluid Analysis 2009.pdf,77542b7b-77ad-48f3-a2c2-f05c020b99ca,Final report
101-HM-1X Well Completion Report.pdf,ed566cdf-98c4-4e1c-986b-b0db59672215,Final report
1084mBRT Rec.pdf,0246b4a7-ec8a-4ba8-ab28-2e3028bc5737,Final report
1110mBRT Rec.pdf,4b523045-248c-4548-a23d-9d9f19459414,Final report
1110mBRT.pdf,8c45d01e-e567-45a1-b4cb-c24c311f352a,Final report
1112mBRT.pdf,2733c837-eec7-4e68-b798-e7944b35712f,Final report
1114mBRT Rec.pdf,7c85c86d-f9fc-42b6-a7b3-86af92a52138,Final report
1114mBRT.pdf,b0dd64f9-7655-4f01-b544-4ecbb18bbc3c,Final report
1120mBRT Rec.pdf,3a202841-f366-4869-a1af-07f0185811e1,Final report
1125mBRT Rec.pdf,b98522bf-b167-416a-8e6f-6e8ee42e0d99,Final report
1129mBRT Rec.pdf,62538038-0a37-4428-8030-8d83fdd4f588,Final report
1129mBRT.pdf,932d1f0e-6b45-4fa4-a7db-f39a354cfe5e,Final report
1131mBRT Rec.pdf,a13b24ab-34ed-4343-9070-e2fe8f50385f,Final report
1131mBRT.pdf,f1288a7b-388d-41e5-93ac-c20cfa282618,Final report
1135mBRT Rec.pdf,ef61da46-689e-4fb0-8486-e9cef0bb48e8,Final report
1135mBRT.pdf,5100b78a-f428-4432-9081-fb665c7c3f89,Final report
1136mBRT Rec.pdf,04b94e4e-914c-4dbe-9b43-b5bee901088e,Final report
1137mBRT Rec.pdf,fef83863-042e-43f6-9178-33d7af121ccb,Final report
1138mBRT Rec.pdf,bcbbab7e-8c9c-48dd-9ac1-d837d4a438e0,Final report
1139mBRT Rec.pdf,701fc303-88f6-4711-969a-109be6add55d,Final report
1173mBRT Rec.pdf,10000e4c-bde9-4b7e-8803-11b5cc73f993,Final report
1173mBRT.pdf,521aec34-a994-4087-99c6-d909a9d7c264,Final report
996mBRT Rec.pdf,e5214ddd-dfbe-412b-90ac-75aefc746722,Final report
Ha Mai 1X Calcareous Nannofossils Distribution Chart.pdf,6f88f27b-88ce-4afa-8f68-e90f9683ea6f,Final report
Ha Mai 1X Microforaminifera Chart.pdf,d5a86b07-f761-4a14-9ce3-220cb8d36cc1,Final report
Ha Mai 1X Palynology Distribution Chart.pdf,c7b09c69-f68b-43a4-9e3f-ba68e3b92000,Final report
101-CB-1X_Mainlog_basement_1720.pdf,17ba92ad-d932-4fea-9eb4-7523a20f4663,Final report
Fault seal Blk 100-101-Final Presentation 8.3.2013 correct 2.4.pptx,5006ffdb-2809-41ec-9b38-e4a54d9c8798,Final report
101-CB-1X_Master log_1724.pdf,2442911b-3fba-4adc-92b7-03aa9b5caaa7,Final report
101CB1XCalcimetry & Dolomitry.XLS,1e85190b-c7d2-4cdd-96a8-4e4bc4852454,Final report
SEVN_101-CB-1X_12.25_16-08-11_AM_ML_900-1364 mBRT.pdf,f8d5cf9a-8343-4acb-81af-1043912a9b21,Final report
SEVN_101-CB-1X_12.25_ML_900-1364 mBRT.pdf,d9ea6f10-1752-4c51-b931-b8317e1f5be7,Final report
SEVN_101-CB-1X_17.5_11-08-11_AM_ML_420-907 mBRT.pdf,492e784d-a95c-457c-b921-ffb15dfa3e0b,Final report
SEVN_101-CB-1X_17.5_ML_420-907 mBRT.pdf,ff469277-db2b-447d-9bcc-2e6251bb4e5f,Final report
SEVN_101-CB-1X_8.5_ML_80-1750 mBRT.pdf,52f7925f-82ae-4942-a9bc-579531714280,Final report
SEVN_101-CB-1X_8.5_ML_87-1724 mBRT.pdf,b2816d20-7bab-4fb6-8db0-52931f6ade72,Final report
